time,pitch,roll,co2
2022/12/22 19:10:10,83.97,1.108,0
2022/12/22 19:10:12,82.649,0.209,0
2022/12/22 19:10:13,82.68801,1.261,0
2022/12/22 19:10:14,84.06,0.73,0
2022/12/22 19:10:15,83.06601,0.631,0
2022/12/22 19:10:16,84.169,0.8349999,0
2022/12/22 19:10:18,83.937,0.42,0
2022/12/22 19:10:19,83.35,-0.053,0
2022/12/22 19:10:21,84.041,0.84,0
2022/12/22 19:10:21,83.13201,0.571,0
2022/12/22 19:10:22,83.979,0.206,0
2022/12/22 19:10:24,83.535,-0.157,0
2022/12/22 19:10:25,83.41101,0.052,0
2022/12/22 19:10:26,84.00001,1.208,0
2022/12/22 19:10:27,82.917,0.523,0
2022/12/22 19:10:28,84.164,0.315,0
2022/12/22 19:10:30,83.173,0.934,0
2022/12/22 19:10:31,84.498,0.726,0
2022/12/22 19:10:32,82.519,1.444,0
2022/12/22 19:10:33,83.198,0.99,0
2022/12/22 19:10:35,84.08,0.987,0
2022/12/22 19:10:36,84.495,0.474,0
2022/12/22 19:10:37,83.905,0.525,0
2022/12/22 19:10:39,83.25701,0.416,0
2022/12/22 19:10:39,82.988,0.672,0
2022/12/22 19:10:40,83.091,1.331,0
2022/12/22 19:10:42,83.558,0.578,0
2022/12/22 19:10:43,83.61,0.469,0
2022/12/22 19:10:44,82.847,0.9440001,0
2022/12/22 19:10:45,84.08401,1.47,0
2022/12/22 19:10:46,84.41501,0.105,0
2022/12/22 19:10:48,83.8,0.155,0
2022/12/22 19:10:49,83.48201,0.731,0
2022/12/22 19:10:50,83.798,1.211,0
2022/12/22 19:10:51,82.458,0.68,0
2022/12/22 19:10:52,83.88201,0.68,0
2022/12/22 19:10:54,83.62201,0.619,0
2022/12/22 19:10:55,83.957,0.313,0
2022/12/22 19:10:56,83.336,0.689,0
2022/12/22 19:10:57,82.925,0.423,0
2022/12/22 19:10:59,84.52701,0.737,0
2022/12/22 19:11:00,83.237,0.528,0
2022/12/22 19:11:01,83.704,0.37,0
2022/12/22 19:11:02,83.76101,-0.104,0
2022/12/22 19:11:03,82.26001,0.419,0
2022/12/22 19:11:05,82.776,1.111,0
